Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score,,,,,,,
45046.31853,10,Conrad Bassett-Bouchard,502,Jason Keller,491,,,,,,,
45046.32054,10,Ben Schoenbrun,519,Wolfram Poh,401,,,,,,,
45046.32247,10,Matthew Tunnicliffe,460,Jeremy Khoo,428,,,,,,,
45046.32323,10,Chris Lipe,499,Stefan Rau,353,,,,,,,
45046.32449,10,Robert Linn,450,Brad Whitmarsh,334,,,,,,,
45046.32461,10,Rob Robinsky,440,Erickson Smith,417,,,,,,,
45046.32508,10,Brian Bowman,515,Josh Sokol,355,,,,,,,
45046.35256,11,Matthew O'Connor,544,Joshua Castellano,391,,,,,,,
45046.3556,11,Conrad Bassett-Bouchard,476,Evans Clinchy,384,,,,,,,
45046.35662,11,Rasheed Balogun,457,Matthew Tunnicliffe,346,,,,,,,
45046.3578,11,Jeremy Khoo,459,Ben Schoenbrun,412,,,,,,,
45046.35895,11,Erickson Smith,586,Brad Whitmarsh,437,,,,,,,
45046.36117,11,Stefan Rau,486,Brian Bowman,392,,,,,,,
45046.36156,11,Chris Lipe,417,Jason Keller,381,,,,,,,
45046.3655,11,Rob Robinsky,402,Josh Sokol,374,,,,,,,
45046.3692,11,Wolfram Poh,498,Robert Linn,455,,,,,,,
45046.39101,12,Ben Schoenbrun,440,Rasheed Balogun,363,,,,,,,
45046.3916,12,Evans Clinchy,509,Joshua Castellano,358,,,,,,,
45046.39498,12,Matthew Tunnicliffe,599,Matthew O'Connor,310,,,,,,,
45046.3972,12,Chris Lipe,530,Conrad Bassett-Bouchard,400,,,,,,,
45046.40108,12,Jason Keller,434,Brian Bowman,427,,,,,,,
45046.40427,12,Josh Sokol,493,Brad Whitmarsh,377,,,,,,,
45046.40517,12,Rob Robinsky,484,Stefan Rau,316,,,,,,,
45046.41606,12,Erickson Smith,490,Wolfram Poh,284,,,,,,,
45046.41631,12,Jeremy Khoo,582,Robert Linn,395,,,,,,,
45046.42389,13,Ben Schoenbrun,531,Matthew O'Connor,407,,,,,,,
45046.42703,13,Evans Clinchy,508,Matthew Tunnicliffe,474,,,,,,,
45046.43611,13,Chris Lipe,455,Brian Bowman,433,,,,,,,
45046.4395,13,Conrad Bassett-Bouchard,534,Joshua Castellano,420,,,,,,,
45046.44142,13,Rob Robinsky,491,Jason Keller,344,,,,,,,
45046.4459,13,Josh Sokol,473,Wolfram Poh,374,,,,,,,
45046.44616,13,Brad Whitmarsh,465,Stefan Rau,436,,,,,,,
45046.45167,13,Rasheed Balogun,474,Robert Linn,411,,,,,,,
45046.45429,13,Jeremy Khoo,570,Erickson Smith,401,,,,,,,
45046.49438,14,Evans Clinchy,509,Ben Schoenbrun,454,,,,,,,
45046.4951,14,Matthew O'Connor,435,Robert Linn,364,,,,,,,
45046.49788,14,Erickson Smith,485,Rasheed Balogun,419,,,,,,,
45046.49834,14,Conrad Bassett-Bouchard,447,Brian Bowman,382,,,,,,,
45046.50047,14,Brad Whitmarsh,517,Jason Keller,376,,,,,,,
45046.50098,14,Matthew Tunnicliffe,531,Joshua Castellano,463,,,,,,,
45046.50147,14,Wolfram Poh,419,Stefan Rau,403,,,,,,,
45046.5022,14,Chris Lipe,498,Rob Robinsky,403,,,,,,,
45046.50319,14,Josh Sokol,540,Jeremy Khoo,351,,,,,,,
45046.52677,15,Conrad Bassett-Bouchard,506,Matthew Tunnicliffe,368,,,,,,,
45046.53247,15,Matthew O'Connor,553,Erickson Smith,398,,,,,,,
45046.53479,15,Robert Linn,496,Evans Clinchy,462,,,,,,,
45046.53521,15,Wolfram Poh,420,Jason Keller,301,,,,,,,
45046.53556,15,Josh Sokol,476,Rasheed Balogun,359,,,,,,,
45046.53669,15,Ben Schoenbrun,424,Joshua Castellano,409,,,,,,,
45046.5372,15,Brian Bowman,427,Rob Robinsky,404,,,,,,,
45046.54118,15,Brad Whitmarsh,432,Chris Lipe,426,,,,,,,
45046.54164,14,Jeremy Khoo,449,Stefan Rau,425,,,,,,,
45046.56935,16,Brian Bowman,577,Brad Whitmarsh,377,,,,,,,
45046.5715,16,Robert Linn,455,Joshua Castellano,400,,,,,,,
45046.57434,16,Erickson Smith,499,Evans Clinchy,464,,,,,,,
45046.57512,16,Ben Schoenbrun,435,Matthew Tunnicliffe,431,,,,,,,
45046.5761,16,Wolfram Poh,454,Chris Lipe,371,,,,,,,
45046.57611,16,Jason Keller,471,Jeremy Khoo,352,,,,,,,
45046.57795,16,Stefan Rau,456,Rasheed Balogun,357,,,,,,,
45046.57912,16,Rob Robinsky,466,Conrad Bassett-Bouchard,399,,,,,,,
45046.57984,16,Josh Sokol,483,Matthew O'Connor,398,,,,,,,
45046.60186,17,Matthew Tunnicliffe,568,Robert Linn,393,,,,,,,
45046.60464,17,Ben Schoenbrun,541,Conrad Bassett-Bouchard,384,,,,,,,
45046.60647,17,Jason Keller,525,Rasheed Balogun,453,,,,,,,
45046.61112,17,Brad Whitmarsh,503,Rob Robinsky,353,,,,,,,
45046.61278,17,Stefan Rau,434,Matthew O'Connor,423,,,,,,,
45046.61921,17,Joshua Castellano,492,Erickson Smith,434,,,,,,,
45046.62089,17,Brian Bowman,429,Wolfram Poh,389,,,,,,,
45046.62292,17,Josh Sokol,474,Evans Clinchy,446,,,,,,,
45046.62433,17,Jeremy Khoo,433,Chris Lipe,416,,,,,,,
