Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score,,,,,,,
44877.32507,1,Terry Kang,384,Mark Francillon,343,,,,,,,
44877.32649,1,Dan Blake,415,Chris Lipe,363,,,,,,,
44877.32696,1,Ben Schoenbrun,491,Vera Bigall,386,,,,,,,
44877.32748,1,Jeremy Khoo,458,Kaia,346,,,,,,,
44877.33074,1,Jason Keller,456,Emily Brodeur,327,,,,,,,
44877.3308,1,Yukiko Loritz,455,Jim Brennan,387,,,,,,,
44877.33249,1,Brad Whitmarsh,557,BJ Premore,366,,, ,,,,
44877.33316,1,Karl Higby,479,Heidi Robertson,415,,,,,,,
44877.33366,1,Will Anderson,498,Scott Appel,236,,,,,,,
44877.35878,2,Ben Schoenbrun,529,Kaia,328,,,,,,,
44877.36185,2,Terry Kang,445,Chris Lipe,444,,,,,,,
44877.36836,2,Yukiko Loritz,433,Mark Francillon,395,,,,,,,
44877.3692,2,Jim Brennan,535,Brad Whitmarsh,296,,,,,,,
44877.37162,2,Scott Appel,468,Heidi Robertson,414,,,,,,,
44877.3728,2,Jeremy Khoo,423,Dan Blake,409,,,,,,,
44877.37334,2,Jason Keller,515,BJ Premore,394,,,,,,,
44877.37361,2,Will Anderson,472,Vera Bigall,326,,,,,,,
44877.39561,3,Chris Lipe,533,Yukiko Loritz,464,,,,,,,
44877.39865,3,Scott Appel,423,Emily Brodeur,319,,,,,,,
44877.40398,3,Ben Schoenbrun,580,Dan Blake,387,,,,,,,
44877.40593,3,Jeremy Khoo,474,Terry Kang,356,,,,,,,
44877.40837,3,Brad Whitmarsh,417,Mark Francillon,395,,,,,,,
44877.41061,3,Will Anderson,509,Heidi Robertson,374,,,,,,,
44877.4125,3,Jim Brennan,486,Jason Keller,484,,,,,,,
44877.41295,3,Vera Bigall,465,Kaia,388,,,,,,,
44877.41416,3,Karl Higby,492,BJ Premore,373,,,,,,,
44877.43309,4,Ben Schoenbrun,515,Terry Kang,294,,,,,,,
44877.43977,4,Vera Bigall,498,Dan Blake,356,,,,,,,
44877.44172,4,Jeremy Khoo,466,Yukiko Loritz,375,,,,,,,
44877.44498,4,Will Anderson,477,Kaia,407,,,,,,,
44877.44712,4,Brad Whitmarsh,524,Chris Lipe,410,,,,,,,
44877.45078,4,Karl Higby,538,Jim Brennan,325,,,,,,,
44877.4516,4,Heidi Robertson,413,Emily Brodeur,366,,,,,,,
44877.45459,4,Jason Keller,509,Mark Francillon,499,,,,,,,
44877.45646,4,BJ Premore,421,Scott Appel,356,,,,,,,
44877.46795,2,Emily Brodeur,469,Karl Higby,321,,,,,,,
44877.50351,5,Vera Bigall,460,Terry Kang,414,,,,,,,
44877.50525,5,Dan Blake,462,Kaia,360,,,,,,,
44877.50832,5,Jim Brennan,534,Scott Appel,404,,,,,,,
44877.51123,5,Will Anderson,609,Emily Brodeur,313,,,,,,,
44877.51376,5,Ben Schoenbrun,445,Yukiko Loritz,349,,,,,,,
44877.51558,5,BJ Premore,529,Heidi Robertson,342,,,,,,,
44877.51876,5,Jeremy Khoo,422,Brad Whitmarsh,399,,,,,,,
44877.51907,5,Chris Lipe,458,Jason Keller,449,,,,,,,
44877.51925,5,Karl Higby,482,Mark Francillon,383,,,,,,,
44877.53404,6,Terry Kang,466,Kaia,387,,,,,,,
44877.54153,6,Yukiko Loritz,507,Vera Bigall,399,,,,,,,
44877.55007,6,Emily Brodeur,375,BJ Premore,373,,,,,,,
44877.55116,6,Will Anderson,490,Dan Blake,324,,,,,,,
44877.55139,6,Ben Schoenbrun,557,Brad Whitmarsh,327,,,,,,,
44877.55311,6,Heidi Robertson,446,Jim Brennan,413,,,,,,,
44877.55711,6,Scott Appel,457,Mark Francillon,438,,,,,,,
44877.5577,6,Karl Higby,487,Chris Lipe,398,,,,,,, 
44877.56161,6,Jason Keller,507,Jeremy Khoo,495,,,,,,,
44877.57706,7,Kaia,441,Yukiko Loritz,435,,,,,,,
44877.57821,7,Jim Brennan,503,Emily Brodeur,247,,,,,,,
44877.58138,7,Dan Blake,525,Terry Kang,283,,,,,,,
44877.584,7,Vera Bigall,401,Brad Whitmarsh,368,,,,,,,
44877.58708,7,Will Anderson,476,BJ Premore,459,,,,,,,
44877.58811,7,Ben Schoenbrun,540,Jason Keller,389,,,,,,,
44877.59713,7,Chris Lipe,469,Scott Appel,360,,,,,,,
44877.59745,7,Heidi Robertson,422,Mark Francillon,387,,,,,,,
44877.60532,7,Jeremy Khoo,494,Karl Higby,493,,,,,,,
44877.61502,8,Brad Whitmarsh,435,Kaia,426,,,,,,,
44877.61587,8,Will Anderson,472,Terry Kang,408,,,,,,,
44877.61767,8,Yukiko Loritz,401,Dan Blake,375,,,,,,,
44877.62247,8,BJ Premore,430,Jim Brennan,308,,,,,,,
44877.63275,8,Chris Lipe,467,Heidi Robertson,326,,,,,,,
44877.63368,8,Mark Francillon,345,Emily Brodeur,327,,,,,,,
44877.63458,8,Jason Keller,579,Vera Bigall,311,,,,,,,
44877.63464,8,Ben Schoenbrun,564,Karl Higby,359,,,,,,,
44877.64428,8,Scott Appel,437,Jeremy Khoo,430,,,,,,,
44877.64896,9,Dan Blake,467,Brad Whitmarsh,404,,,,,,,
44877.65593,9,Yukiko Loritz,385,Terry Kang,383,,,,,,,
44877.66115,9,Will Anderson,431,Jim Brennan,378,,,,,,,
44877.66325,9,Chris Lipe,460,Emily Brodeur,279,,,,,,,
44877.66941,9,Jason Keller,473,Kaia,308,,,,,,,
44877.67285,9,Karl Higby,477,Vera Bigall,343,,,,,,,
44877.67381,9,Ben Schoenbrun,501,Scott Appel,426,,,,,,,
44877.67565,9,BJ Premore,480,Mark Francillon,432,,,,,,,
44877.68615,9,Jeremy Khoo,435,Heidi Robertson,385,,,,,,,
44878.30565,10,Jim Brennan,437,Mark Francillon,334,,,,,,,
44878.30616,10,Scott Appel,504,Vera Bigall,366,,,,,,,
44878.30719,10,Ben Schoenbrun,584,Heidi Robertson,292,,,,,,,
44878.3085,10,Terry Kang,502,Brad Whitmarsh,430,,,,,,,
44878.30927,10,Jason Keller,517,Dan Blake,268,,,,,,,
44878.30947,10,Chris Lipe,525,BJ Premore,362,,,,,,,
44878.31177,10,Will Anderson,486,Yukiko Loritz,312,,,,,,,
44878.31206,10,Karl Higby,561,Kaia,355,,,,,,,
44878.31566,10,Jeremy Khoo,404,Emily Brodeur,373,,,,,,,
44878.33914,11,Ben Schoenbrun,419,Emily Brodeur,375,,,,,,,
44878.34043,11,Heidi Robertson,425,Vera Bigall,405,,,,,,,
44878.34404,11,Jason Keller,500,Terry Kang,402,,,,,,,
44878.34488,11,Kaia,412,Scott Appel,378,,,,,,,
44878.34681,11,Chris Lipe,419,Jim Brennan,341,,,,,,,
44878.35126,11,Karl Higby,474,Dan Blake,391,,,,,,,
44878.35189,11,Yukiko Loritz,471,Brad Whitmarsh,455,,,,,,,
44878.35314,11,Will Anderson,399,Mark Francillon,392,,,,,,,
44878.35502,11,BJ Premore,514,Jeremy Khoo,424,,,,,,,
44878.37425,12,Vera Bigall,441,Emily Brodeur,424,,,,,,,
44878.38497,12,Jason Keller,465,Yukiko Loritz,438,,,,,,,
44878.38883,12,Terry Kang,453,Karl Higby,449,,,,,,,
44878.39006,12,Ben Schoenbrun,501,BJ Premore,351,,,,,,,
44878.39051,12,Heidi Robertson,444,Kaia,411,,,,,,,
44878.39186,12,Scott Appel,460,Dan Blake,375,,,,,,,
44878.39278,12,Chris Lipe,468,Mark Francillon,387,,,,,,,
44878.39303,12,Will Anderson,444,Brad Whitmarsh,310,,,,,,,
44878.39854,12,Jeremy Khoo,438,Jim Brennan,340,,,,,,,
44878.41854,13,Kaia,452,Emily Brodeur,366,,,,,,,
44878.4208,13,Karl Higby,495,Yukiko Loritz,331,,,,,,,
44878.42889,13,Jason Keller,475,Brad Whitmarsh,345,,,,,,,
44878.42953,13,Scott Appel,544,Terry Kang,325,,,,,,,
44878.42956,13,BJ Premore,424,Vera Bigall,372,,,,,,,
44878.43237,13,Jim Brennan,507,Ben Schoenbrun,463,,,,,,,
44878.43266,13,Heidi Robertson,439,Dan Blake,419,,,,,,,
44878.43538,13,Chris Lipe,475,Will Anderson,432,,,,,,,
44878.43596,13,Jeremy Khoo,478,Mark Francillon,287,,,,,,,
44878.48604,14,Dan Blake,486,Emily Brodeur,448,,,,,,,
44878.49069,14,Ben Schoenbrun,413,Mark Francillon,397,,,,,,,
44878.49086,14,Jim Brennan,461,Vera Bigall,337,,,,,,,
44878.4919,14,Kaia,450,BJ Premore,316,,,,,,,
44878.49244,14,Chris Lipe,465,Jeremy Khoo,389,,,,,,,
44878.49313,14,Terry Kang,434,Heidi Robertson,329,,,,,,,
44878.49498,14,Scott Appel,520,Yukiko Loritz,393,,,,,,,
44878.49948,14,Brad Whitmarsh,465,Karl Higby,453,,,,,,,
44878.50082,14,Will Anderson,376,Jason Keller,374,,,,,,,
44878.51868,15,Terry Kang,383,Emily Brodeur,363,,,,,,,
44878.52054,15,Mark Francillon,582,Vera Bigall,317,,,,,,,
44878.52188,15,Jim Brennan,424,Kaia,278,,,,,,,
44878.52485,15,Chris Lipe,600,Ben Schoenbrun,349,,,,,,,
44878.52774,15,BJ Premore,455,Dan Blake,353,,,,,,,
44878.53391,15,Yukiko Loritz,460,Heidi Robertson,356,,,,,,,
44878.54013,15,Will Anderson,490,Jeremy Khoo,384,,,,,,,
44878.54056,15,Brad Whitmarsh,548,Scott Appel,434,,,,,,,
44878.5414,15,Jason Keller,440,Karl Higby,425,,,,,,,
44878.55336,16,Mark Francillon,498,Kaia,359,,,,,,,
44878.55756,16,Chris Lipe,523,Vera Bigall,415,,,,,,,
44878.55766,16,Jim Brennan,559,Dan Blake,340,,,,,,,
44878.56154,16,BJ Premore,464,Terry Kang,328,,,,,,,
44878.5734,16,Heidi Robertson,476,Brad Whitmarsh,353,,,,,,,
44878.5745,16,Jeremy Khoo,475,Ben Schoenbrun,473,,,,,,,
44878.57678,16,Karl Higby,463,Will Anderson,368,,,,,,,
44878.57921,16,Scott Appel,426,Jason Keller,325,,,,,,,
44878.58816,17,Chris Lipe,471,Kaia,427,,,,,,,
44878.59337,17,Mark Francillon,501,Dan Blake,399,,,,,,,
44878.59538,17,Jim Brennan,433,Terry Kang,325,,,,,,,
44878.60509,17,Brad Whitmarsh,434,Emily Brodeur,376,,,,,,,
44878.60718,17,Yukiko Loritz,514,BJ Premore,430,,,,,,,
44878.60851,17,Ben Schoenbrun,505,Will Anderson,339,,,,,,,
44878.61031,17,Scott Appel,508,Karl Higby,379,,,,,,,
44878.61259,17,Jason Keller,421,Heidi Robertson,365,,,,,,,
44878.61517,16,Emily Brodeur,385,Yukiko Loritz,368,,,,,,,
44878.61625,17,Jeremy Khoo,524,Vera Bigall,366,,,,,,,
