"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score",,,,,,,
"01/17/26 02:51 PM",6,"Geoff Thevenot",463,"Evans Clinchy",407,,,,,,,
"01/17/26 02:51 PM",6,"Jason Ubeika",468,"Greg Harper",418,,,,,,,
"01/17/26 02:52 PM",6,"Scott Jackson",421,"Tim Weiss",419,,,,,,,
"01/17/26 02:52 PM",6,"Joshua Castellano",495,"Dave Wiegand",461,,,,,,,
"01/17/26 02:54 PM",6,"Chris Lipe",446,"Mohammad Sulaiman",395,,,,,,,
"01/17/26 03:30 PM",7,"Ben Schoenbrun",537,"Dave Wiegand",485,,,,,,,
"01/17/26 03:33 PM",7,"Greg Harper",413,"Matthew O'Connor",361,,,,,,,
"01/17/26 03:41 PM",7,"Thomas Reinke",464,"Jason Ubeika",373,,,,,,,
"01/17/26 03:43 PM",7,"Mohammad Sulaiman",443,"Sandy Nang",373,,,,,,,
"01/17/26 03:46 PM",7,"Erickson Smith",474,"Geoff Thevenot",385,,,,,,,
"01/17/26 03:47 PM",7,"Kevin Fraley",500,"Eta Karo",381,,,,,,,
"01/17/26 03:47 PM",7,"Chris Lipe",576,"Puneet Sharma",361,,,,,,,
"01/17/26 03:47 PM",7,"Evans Clinchy",404,"Scott Jackson",318,,,,,,,
"01/17/26 03:51 PM",7,"Josh Sokol",446,"Joshua Castellano",384,,,,,,,
"01/17/26 03:53 PM",7,"Tim Weiss",466,"Randi Goldberg",368,,,,,,,
"01/17/26 03:54 PM",7,"Charles Reinke",454,"Austin Shin",365,,,,,,,
"01/17/26 03:55 PM",7,"Rob Robinsky",483,"Ekansh Arora",328,,,,,,,
"01/17/26 04:29 PM",8,"Joshua Castellano",652,"Ben Schoenbrun",242,,,,,,,
"01/17/26 04:37 PM",8,"Geoff Thevenot",537,"Kevin Fraley",389,,,,,,,
"01/17/26 04:38 PM",8,"Jason Ubeika",455,"Scott Jackson",383,,,,,,,
"01/17/26 04:38 PM",8,"Evans Clinchy",452,"Chris Lipe",370,,,,,,,
"01/17/26 04:41 PM",8,"Dave Wiegand",444,"Austin Shin",412,,,,,,,
"01/17/26 04:42 PM",8,"Thomas Reinke",540,"Josh Sokol",421,,,,,,,
"01/17/26 04:47 PM",8,"Rob Robinsky",474,"Mohammad Sulaiman",414,,,,,,,
"01/17/26 04:47 PM",8,"Matthew O'Connor",459,"Puneet Sharma",446,,,,,,,
"01/17/26 04:47 PM",8,"Erickson Smith",428,"Greg Harper",381,,,,,,,
"01/17/26 04:50 PM",8,"Tim Weiss",426,"Randi Goldberg",408,,,,,,,
"01/17/26 04:53 PM",8,"Eta Karo",480,"Charles Reinke",389,,,,,,,
"01/17/26 04:53 PM",8,"Ekansh Arora",426,"Sandy Nang",351,,,,,,,
"01/18/26 08:17 AM",9,"Eta Karo",504,"Geoff Thevenot",389,,,,,,,
"01/18/26 08:19 AM",9,"Matthew O'Connor",511,"Chris Lipe",382,,,,,,,
"01/18/26 08:21 AM",9,"Josh Sokol",458,"Ben Schoenbrun",413,,,,,,,
"01/18/26 08:24 AM",9,"Scott Jackson",460,"Greg Harper",442,,,,,,,
"01/18/26 08:24 AM",9,"Erickson Smith",458,"Jason Ubeika",408,,,,,,,
"01/18/26 08:28 AM",9,"Puneet Sharma",425,"Sandy Nang",399,,,,,,,
"01/18/26 08:29 AM",9,"Austin Shin",524,"Evans Clinchy",492,,,,,,,
"01/18/26 08:31 AM",9,"Randi Goldberg",493,"Ekansh Arora",441,,,,,,,
"01/18/26 08:31 AM",9,"Dave Wiegand",416,"Charles Reinke",408,,,,,,,
"01/18/26 08:32 AM",9,"Kevin Fraley",486,"Rob Robinsky",424,,,,,,,
"01/18/26 08:32 AM",9,"Mohammad Sulaiman",432,"Tim Weiss",423,,,,,,,
"01/18/26 08:33 AM",9,"Joshua Castellano",461,"Thomas Reinke",416,,,,,,,
"01/18/26 09:10 AM",10,"Scott Jackson",468,"Matthew O'Connor",436,,,,,,,
"01/18/26 09:16 AM",10,"Josh Sokol",521,"Charles Reinke",436,,,,,,,
"01/18/26 09:18 AM",10,"Thomas Reinke",435,"Ben Schoenbrun",329,,,,,,,
"01/18/26 09:21 AM",10,"Randi Goldberg",481,"Eta Karo",341,,,,,,,
"01/18/26 09:21 AM",10,"Geoff Thevenot",426,"Greg Harper",374,,,,,,,
"01/18/26 09:24 AM",10,"Kevin Fraley",452,"Chris Lipe",432,,,,,,,
"01/18/26 09:25 AM",10,"Dave Wiegand",506,"Jason Ubeika",436,,,,,,,
"01/18/26 09:29 AM",10,"Tim Weiss",430,"Sandy Nang",335,,,,,,,
"01/18/26 09:29 AM",10,"Rob Robinsky",467,"Evans Clinchy",432,,,,,,,
"01/18/26 09:30 AM",10,"Erickson Smith",498,"Joshua Castellano",488,,,,,,,
"01/18/26 09:38 AM",10,"Austin Shin",421,"Mohammad Sulaiman",396,,,,,,,
"01/18/26 09:40 AM",10,"Ekansh Arora",482,"Puneet Sharma",474,,,,,,,
"01/18/26 10:09 AM",11,"Dave Wiegand",646,"Thomas Reinke",403,,,,,,,
"01/18/26 10:13 AM",11,"Kevin Fraley",517,"Ben Schoenbrun",423,,,,,,,
"01/18/26 10:18 AM",11,"Chris Lipe",523,"Jason Ubeika",400,,,,,,,
"01/18/26 10:21 AM",11,"Scott Jackson",511,"Randi Goldberg",459,,,,,,,
"01/18/26 10:22 AM",11,"Matthew O'Connor",398,"Sandy Nang",269,,,,,,,
"01/18/26 10:26 AM",11,"Rob Robinsky",607,"Evans Clinchy",386,,,,,,,
"01/18/26 10:29 AM",11,"Mohammad Sulaiman",446,"Charles Reinke",414,,,,,,,
"01/18/26 10:31 AM",11,"Joshua Castellano",473,"Eta Karo",430,,,,,,,
"01/18/26 10:32 AM",11,"Austin Shin",481,"Ekansh Arora",373,,,,,,,
